0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,Education,Master,English Education,19,36,55,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,Education,Master,Health Education,10,30,40,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,Education,Master,Nepali Education,7,32,39,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,HSS,Bachelor,4-YRS B.A.,182,140,322,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,HSS,Bachelor BCA,,32,57,89,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,HSS,Master,Anthropology,9,24,33,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,HSS,Master,Economics,29,58,87,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,HSS,Master,English,30,30,60,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,HSS,Master,Nepali,9,11,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Campus Name,Province,Faculty,Level,Programname,Female,Male,Total,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,HSS,Master,Political Science,73,184,257,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,HSS,Master,Rural Development,24,27,51,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,HSS,Master,Sociology,44,53,97,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,Law,Bachelor,Ll.B.,348,1022,1370,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,Management Bachelor,,4-YRS B.B.S.,622,465,1087,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,,Management Bachelor BBA,,181,124,305,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,,Management Bachelor BPA,,31,32,63,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,Management,Master,MBS,76,72,148,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,S&T,Bachelor,4-YRS B.Sc,109,146,255,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,S&T,Bachelor BIT,,29,50,79,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,S&T,Bachelor BSc.CSIT,,14,76,90,,,,,,,,,,,,,
Mahendra Ratna Campus,Bagmati,Education,Bachelor,4-YRS B.ED.,1219,685,1904,,,,,,,,,,,,,
Mahendra Ratna Campus,Bagmati,Education,Bachelor,ICTE,52,22,74,,,,,,,,,,,,,
Mahendra Ratna Campus,Bagmati,Education,Master,Curriculum And  Evaluation,3,4,7,,,,,,,,,,,,,
Mahendra Ratna Campus,Bagmati,Education,Master,Economics Education,9,10,19,,,,,,,,,,,,,
Mahendra Ratna Campus,Bagmati,Education,Master,EPM,16,20,36,,,,,,,,,,,,,
Mahendra Ratna Campus,Bagmati,Education,Master,English Education,46,83,129,,,,,,,,,,,,,
Mahendra Ratna Campus,Bagmati,Education,Master,Health Education,5,24,29,,,,,,,,,,,,,
Mahendra Ratna Campus,Bagmati,Education,Master,Mathematics Education,41,10,51,,,,,,,,,,,,,
Mahendra Ratna Campus,Bagmati,Education,Master,Nepali Education,17,106,123,,,,,,,,,,,,,
Mahendra Ratna Campus,Bagmati,Education,Master,Physics Education,25,13,38,,,,,,,,,,,,,
Mahendra Ratna Campus,Bagmati,Education,Master,Population Education,6,15,21,,,,,,,,,,,,,
